Title,Company,City,State,Description,Skills,Experience,Job URL
Principal Process Engineer,KBR,Sydney,NSW,"Lead design of water and wastewater treatment plants
Prepare technical reports, designs, drawings, and bid documents
Mentor engineers, maintain client relationships, support strategy.","C, R",,https://au.jora.com/job/Process-Engineer-688d4ac5f4248bd20d3326df21114646
IT System Analyst,Kirra Services,Darwin,NT,"Analyze, design, and implement IT systems to meet business needs
Bachelor’s in Computer Science, 3+ years IT system experience
Strong knowledge of ITIL, system integration, and technical writing","C, ITIL, R",3,https://au.jora.com/job/IT-System-Analyst-36b2e858fdcd25f6189955e21c17b8e3
Advanced Services Engineer,Arista Networks,Canberra,ACT,"Provide advanced post-sales support for networking deployments
Assist with network provisioning automation using Python and tools
Maintain expertise through ongoing training and certifications","C, Go, Networking, Python, R, SSIS",,https://au.jora.com/job/Services-Engineer-e5a4963d8eaf3876c19e62626ddceb40
System Designer,Kirra Services,Canberra,ACT,"Proficient in programming languages like Java, Python, C#, or JavaScript
Experienced in Agile methodologies, cloud-based project management tools
Bachelor’s in Computer Science, 5+ years system design experience","Agile, C, C#, Java, JavaScript, Python, R",5,https://au.jora.com/job/System-Designer-c6f307fd5f965b239413bf282fbe5458
MS Engineer (L3): Network,NTT,Perth,WA,"Manage complex network tickets and provide advanced resolutions
Implement, troubleshoot, and maintain network infrastructure devices
Experience with Juniper and Cisco products, JNCIA, CCNP/CCIE certifications","C, R",,https://au.jora.com/job/MS-Engineer-L3-36750b97fa7dc6730255c240d8b730bf
IT Support Engineer (Linux & Infrastructure Focus),Advanced Navigation,Sydney,NSW,"Provide IT helpdesk support to global team via various channels
Install, configure, and maintain Windows and Linux desktop systems
Required: Linux (Ubuntu) desktop experience, IT tertiary qualification","C, Linux, R",,https://au.jora.com/job/IT-Support-Engineer-bdde4e865f8c1daa9bcbc8e285d123cc
Controls Engineer,Amazon Web Services,Melbourne,VIC,"Deploy and service data center building automation systems
Resolve critical events and improve data center efficiency
Experience in control system integration, theory, and programming required","C, R",,https://au.jora.com/job/Controls-Engineer-b9e2591e8c41631cfbb8b74daef1240f
Senior Mobile Software Developer,NTT,Melbourne,VIC,"Develop and maintain mobile applications using .NET MAUI
Manage full mobile app release process for Android and iOS
Minimum 2 years experience in mobile app development required","C, R",2,https://au.jora.com/job/Software-Developer-5ac5d7778c06ea821316a9b7ae86da4a
Senior Technical Accounts Manager,Phaidra,Australia,,"Lead project management for AI Agent customization and deployment
Serve as main customer contact, provide technical support, and manage teams
Collaborate with sales to drive customer satisfaction, ensure documentation","C, R",,https://au.jora.com/job/Technical-Account-Manager-d4ee9d85d70cdead62788951f708334f
Graduate Production Engineer,Boeing,Wellcamp,QLD,"Support production facility establishment for MQ-28 Ghost Bat program
Support manufacturing plans, tooling methods, compliance reporting
Degree in engineering, computer science, or IT required","C, R",,https://au.jora.com/job/Production-Engineer-721709f4d9c740837a4640412f40eba6
Technical Support Engineer _ Bilingual English and Mandarin,Hikvision,Melbourne,VIC,"Provide technical support to customers and record cases in IT system
Deliver product training to distributors' technical teams
Fluency in English required, Mandarin fluency advantageous; CCTV experience","C, R",,https://au.jora.com/job/Technical-Support-Engineer-4a2e8eb9384f2533daaed70940885014
Graduate Production Engineer,Boeing,Toowoomba,QLD,"Support production facility setup for MQ-28 Ghost Bat program
Contribute to manufacturing plans and process improvement projects
Engage in collaborative team environment for innovative solutions delivery","C, R",,https://au.jora.com/job/Production-Engineer-117062fefad2fb27691f59a0781ff0e4
Process Engineer,oilandgasjobsearch.com,Melbourne,VIC,"Design water & wastewater treatment plants for key water utilities
Interact with clients, assist in bids, and promote Zero Harm policy
Join a team focused on innovation and digital engineering projects","C, Git, R, SSIS",,https://au.jora.com/job/Process-Engineer-4f62f139fcb03d7fd96fa5fa5396a54d
Technical Project Manager,Sharp and Carter,Melbourne,VIC,"Collaborate with project leads to align business outcomes
Manage Gen AI Roadmap project plan and resource allocation
Project Management certification and 3+ years experience required","C, R",3,https://au.jora.com/job/Technical-Project-Manager-29909e3f029a69b61ac7e2d772f4b671
Shutdown Project Controls Engineer,Resourceful Recruitment,Brisbane,QLD,"Monitor project costs, track schedules, mitigate risks effectively
Collaborate with various project stakeholders for optimal resourcing
5+ years experience in Mining/Heavy Industry Shutdowns preferred","C, R",5,https://au.jora.com/job/Project-Controls-Engineer-3a93967b9b888346b986f0319c95d33e
Senior Mechanical Engineer - Asset Portfolio,Hydro Tasmania,Hobart,TAS,"Bachelor's degree in Mechanical Engineering required
Develop asset management plans and technical standards
Collaborate with stakeholders, mentor junior team members","C, R",,https://au.jora.com/job/Mechanical-Engineer-b334b95c17fa26f1ea74a56c89559730
Project Manager,Sharp and Carter,Melbourne,VIC,"Lead Gen AI project implementation with internal and external teams
Manage technical roadmap, resources, and vendor relationships effectively
Requires project management certification, 3+ years experience in tech","C, R",3,https://au.jora.com/job/Project-Manager-305aacf128c9ca2e569aeb9a4dcb0f9a
"Principal Process Engineer, Water",KBR,Sydney,NSW,"Lead design of water and wastewater treatment plants
Prepare technical reports, designs, bids, and contract documents
Provide guidance to process engineers, maintain client relationships","C, R",,https://au.jora.com/job/Process-Engineer-3aeb84cde0e2b676471aa2ae3919d82a
Senior Mechanical Engineer,KBR,Melbourne,VIC,"Design-focused Senior Mechanical Engineer for water & wastewater projects
Contribute to technical direction, client relationships, and commercial outcomes
Plan, schedule, and conduct work requiring judgment and engineering expertise","C, R",,https://au.jora.com/job/Mechanical-Engineer-2af9270d13e211d7e53eed11cc5414b1
CRM Systems Lead Salesforce,State Library of Victoria,Melbourne,VIC,"Lead CRM platform operations and user training for stakeholders
Bachelor's degree in relevant field and Salesforce certification required
Experience with Azure or AWS data services and data migration","AWS, Azure, C, R, Salesforce",,https://au.jora.com/job/Systems-Lead-dec1002ef09770d6156b8061c95d132f
Principal Process Engineer,oilandgasjobsearch.com,Girilambone,NSW,"Lead design of water & wastewater treatment plants
Prepare technical reports, bids, and contract documents
Mentor process engineers, maintain client relationships, promote Zero Harm","C, R",,https://au.jora.com/job/Process-Engineer-595681436b4f89cd1e30a846d31442c1
"Principal Process Engineer, Water",oilandgasjobsearch.com,Girilambone,NSW,"Lead design of water & wastewater treatment plants
Prepare technical reports, bids, and contract documents
Mentor process engineers, maintain client relationships, assist in strategy","C, R, SSIS",,https://au.jora.com/job/Process-Engineer-604e3eb5eaaf00692d5f529bbae5313a
"Principal Mechanical Engineer, Water",KBR,Sydney,NSW,"Lead projects in water sector, provide technical direction
Chartered Engineer with RPEV accreditation or eligibility
Experience in water infrastructure consulting, project management","C, R",,https://au.jora.com/job/Mechanical-Engineer-0aa95f2f345a48b1665a6f878eb25fcc
"Principal Mechanical Engineer, Water",KBR,Brisbane,QLD,"Lead design of water & wastewater projects for major utility assets
Provide technical guidance, coaching, and mentoring to team members
Lead projects, teams, clients, and commercial strategies","C, R",,https://au.jora.com/job/Mechanical-Engineer-a59e6d177171a1dd51d1b081030991c2
"Principal Civil Engineer, Water",oilandgasjobsearch.com,Brisbane,QLD,"Lead water projects with focus on environmental outcomes
Chartered Engineer with RPEV accreditation or eligibility
Design consulting experience in water infrastructure sector required","C, R",,https://au.jora.com/job/Civil-Engineer-ac3562834b2dcd6f4575f2b68236f1b6
"Principal Mechanical Engineer, Water",oilandgasjobsearch.com,Girilambone,NSW,"Lead projects in water sector, focusing on design solutions
Chartered Engineer with RPEV accreditation or eligibility
Water infrastructure consulting, project management, leadership experience","C, R, leadership",,https://au.jora.com/job/Mechanical-Engineer-bdb2bd422be59239ccbc40d0e857e9f5
"Principal Mechanical Engineer, Water",oilandgasjobsearch.com,Brisbane,QLD,"Lead design-focused projects for water & wastewater utility assets
Provide technical guidance, coaching, and mentoring to team members
Contribute to innovative projects integrating virtual reality and AI","C, R",,https://au.jora.com/job/Mechanical-Engineer-0cb303f0d5f342595a6097c9fd1e747e
Network Engineer,Penten,Canberra,ACT,"Troubleshoot and manage complex network issues
Implement network solutions and process improvements for efficiency
Experience with CISCO, VoIP, firewalls, and network certifications","C, Firewalls, R",,https://au.jora.com/job/Network-Engineer-0a7c00471ca7138b3cbc2a76f261221f
"Principal Civil Engineer, Water",KBR,Brisbane,QLD,"Lead water projects with innovative solutions for environmental outcomes
Chartered Engineer with RPEV accreditation or eligibility to apply
Water infrastructure consulting, project management, team leadership","C, R, leadership",,https://au.jora.com/job/Civil-Engineer-83ff9ccf91bd5980e195f301dc5ba7bd
Water - Civil Engineer,oilandgasjobsearch.com,Melbourne,VIC,"Contribute to designs in water infrastructure projects
Work with diverse team on engineering lifecycle and client interactions
Bachelor of Civil Engineering required; experience in water projects","C, R",,https://au.jora.com/job/Civil-Engineer-901b43c690101bc9b407d0b41f905a32
Application Support Officer,Parkes Shire Council,Parkes,NSW,"Provide Level 1-2 support for SaaS platforms and applications
Manage user accounts, troubleshoot access issues, and maintain integrations
Cert IV in IT req; 1-2 yrs ICT exp","C, R",,https://au.jora.com/job/Application-Support-Officer-5c5f02fd1c9401a4ac0dbc1c24c26d5b
Reporting and Data Specialist (Workday),Seven West Media,Eveleigh,NSW,"Develop, maintain, and analyze reports within Workday platform
Collaborate with Integrations Lead for reporting requirements across platform
5+ years' experience in data reporting within HRIS & Payroll systems","C, R",5,https://au.jora.com/job/Data-Specialist-e5fca7881bde17ef3eafc39bcd7ef48f
"Service Desk Analyst, Casual Position",Lander & Rogers,Melbourne,VIC,"Provide on-site technical support and troubleshooting for end-users
Bachelor's degree in IT or related field with 2+ years experience
Proficient in enterprise applications, ITIL certification desirable","C, ITIL, R",2,https://au.jora.com/job/Service-Desk-Analyst-70221cad73837ce86f07ee1a6d24f3fd
IT Support Engineer & Technical Product Specialist,secVision Networks,North Parramatta,NSW,"Maintain internal IT systems and provide technical support
Assist customers with security product setup, troubleshooting, and training
Experience with Windows, Linux, networking, and cybersecurity required","C, Linux, Networking, R, SSIS",,https://au.jora.com/job/Technical-Product-Specialist-4874aa1a6abb4790fb5e533c64ab6127
IT Support Specialist (Level 2),People Infrastructure,Brisbane,QLD,"Maintain systems, infrastructure, and end user computing
Resolve technical issues, provide advice, assist in system integrations
IT certificate, ITIL Certified, 1-3 years' IT support experience","C, IT Support, ITIL, R, SSIS",3,https://au.jora.com/job/IT-Support-Specialist-af0ad32d659a2a710d57e0abdc553497
IT Support Specialist (@ Leading Fashion Marketplace),Hatch,Sydney,NSW,"Deploy, configure, and maintain endpoint devices across organization
Troubleshoot hardware, software, and OS-related issues for end users
Provide IT Service Desk and application support using ticketing software","C, R, Service Desk",,https://au.jora.com/job/IT-Support-Specialist-46aa81b951e57dd543de402872edb863
Sr IT Support Specialist,Digi International,Brisbane,QLD,"Provide advanced technical support for end-users across multiple platforms
Manage escalated IT service tickets and mentor junior IT staff
Troubleshoot hardware, software, networking issues; administer user accounts","C, Networking, R, Scala",,https://au.jora.com/job/Sr-IT-Support-b1c51e5206518b0c998a24bec7e854b7
IT Support Specialist,Globus Medical,Macquarie Park,NSW,"Provide tier II technical support for ANZ office
Maintain IT assets inventory and coordinate hardware purchases
Support cybersecurity policies, compliance, and business systems","C, R",,https://au.jora.com/job/IT-Support-Specialist-8e8b394cc10ab6f79887138a0bf4db0c
IT Support System Administrator Specialist,Kirra Services,Australian Capital,Territory,"Design and deploy IT hardware, software, and services
Provide technical support, troubleshooting, and system administration
Network administration, security, and compliance activities","C, R",,https://au.jora.com/job/Specialist-e74c19aead92c26f1e87a467d152da29
IT Support Specialist - Law Firm,Zylo Recruitment Services,Brisbane,QLD,"Provide technical support for hardware, software, and network issues
Manage IT infrastructure, perform system maintenance, and backups
Bachelor's degree in IT, experience in legal software support","C, R",,https://au.jora.com/job/IT-Support-Specialist-953528c8f78ebe2f7fa99f51de0cd625
"IT Systems Support Specialist-Part time role based in Norwest,Sydney",Abbey Animal Health,Norwest,NSW,"Provide day-to-day IT support and coordination at Abbey Animal Health
Manage IT equipment, troubleshoot issues, and promote cyber security
Minimum 2-3 years experience, IT qualification, Windows Server knowledge","C, IT Support, R, Windows Server",3,https://au.jora.com/job/Systems-Support-Specialist-36d3e4bcff01848a37371e9b77f5171d
IT Support Specialist,Warrumbungle Shire Council,Coonabarabran,NSW,"Provide hands-on IT support for diverse team, including troubleshooting
Collaborate with vendors, manage IT infrastructure, ensure security compliance
1-2 years IT support experience, Microsoft knowledge, basic networking","C, IT Support, Networking, R",2,https://au.jora.com/job/IT-Support-Specialist-230b3d8770dc7ce4a9c70f97c4435f7e
IT Support Specialist - Melbourne VIC,AMA Group,Melbourne,VIC,"Provide incident and application support to AMA Group users
Troubleshoot, resolve IT issues, and manage software deployments
3+ years experience, Azure, Active Directory, code writing skills required","Active Directory, Azure, C, R",3,https://au.jora.com/job/IT-Support-Specialist-43fc39e9ed9219aa12b2654d29b4ff4e
ICT Support Specialist,Hays Recruitment,Melbourne,VIC,"Provide level 2 IT support onsite and remotely
Maintain hybrid infrastructure, network, and MS O365 support
Experience with Windows Servers, Azure cloud, and networking concepts","Azure, C, IT Support, Networking, R, Windows Server",,https://au.jora.com/job/ICT-Support-Specialist-78fb78470bcf40a66b0cc32d1330a7b1
Technical Support Specialist,West Recruitment,Sydney,NSW,"Support IT platforms, projects, and enhancements for Australian sporting group
Manage IT Service Desk, systems implementations, and hardware roll-out
1-2 years IT support experience, strong communication, customer service","C, IT Support, R, Service Desk, communication",2,https://au.jora.com/job/Technical-Support-Specialist-effae466133bdfddc3a76c69852ab232
ICT Service Desk Support Specialist,Opal HealthCare,Sydney CBD,NSW,"Provide first and second-level IT support for Opal HealthCare
Troubleshoot hardware, software, and network issues; manage service requests
Bachelor's degree in IT or related field required; ITIL certification desirable","C, IT Support, ITIL, R",,https://au.jora.com/job/Support-Specialist-90c296a18c4281ca7375311871461d62
Expression of Interest: ICT Support Technician / Specialist Technician (Bendigo and Surrounding Areas),The Good Guys,Southbank,VIC,"Advanced technical skills in Windows Server, Apple devices, network admin
Experience in educational setting, wireless deployment, 1 to 1 devices
Ability to troubleshoot, work autonomously or collaboratively, good communicator","C, Go, R, Windows Server",,https://au.jora.com/job/Specialist-Technician-b40d9cb6de0ae5ed804e82e1791c12dc
ICT Technical Support Specialist,Opal HealthCare,Perth,WA,"Resolve escalated IT incidents and provide advanced technical support
Mentor Level 1 service desk team and participate in continuous improvement
Strong technical problem-solving skills and ITIL certification preferred","C, ITIL, R, Scala, Service Desk",,https://au.jora.com/job/Technical-Support-Specialist-210bda6cea66ba4ee9c083bb10f751fd
Expression of Interest: ICT Support Technician / Specialist Technician - Multiple positions across Victoria,JB Hi-Fi,Southbank,VIC,"Responsible for school network and ICT environment administration
Hardware config, troubleshooting, virtualization experience needed.
Preferred: Certification in relevant tech, previous school ICT experience.","C, R",,https://au.jora.com/job/Specialist-Technician-7192b289ef64c7deee672f75e9126246
Technical Support Specialist,Katana It,Gregory Hills,NSW,"Provide technical support remotely and in-person to end-users
Diagnose and resolve hardware/software issues, assist with upgrades
Require MSP experience, IT degree/certifications, strong communication skills","C, R, SSIS, communication",,https://au.jora.com/job/Technical-Support-Specialist-2054f1b2a0b55f1fef98d82daa03a78d
IT Support Specialist,St Trinity Property Group,Concord,NSW,"Manage hardware, software, and infrastructure for seamless office technology
Provide user training, setup, and integration of various IT tools
Collaborate with teams, optimize processes, and assist in project management","C, R, SSIS",,https://au.jora.com/job/IT-Support-Specialist-97f7819629d6b16d15d85cfdd06a4258
"IT Support Specialist – L2 – Adelaide, South Australia",Axiom Technologies,Adelaide,SA,"Provide user support for computer systems, software, and hardware
Manage network infrastructure, software applications, and security measures
Conduct training sessions, create documentation, and handle VIP calls","C, R",,https://au.jora.com/job/IT-Support-Specialist-89d1a906a4c2c0c24f7cbad98a6ca1dd
Senior IT Support Specialist,Warrumbungle Shire Council,Coonabarabran,NSW,"Provide comprehensive IT support for end-users and critical infrastructure
Manage diverse IT environments including Windows, servers, and networking
Minimum 3 years hands-on IT support experience required","C, IT Support, Networking, R",3,https://au.jora.com/job/Senior-IT-Support-f84220bb3459be5e85356467b6bd5add
ICT Service Desk Support Specialist,Opal HealthCare,Sydney CBD,NSW,"Provide first and second-level IT support for Opal HealthCare
Troubleshoot hardware, software, and network issues; manage service requests
Bachelor's degree in IT or related field required; ITIL certification preferred","C, IT Support, ITIL, R",,https://au.jora.com/job/Support-Specialist-b8fdcae7024df196c70cee0331fff0d1
ICT Support Specialist,Hays Recruitment,Melbourne,VIC,"Provide level 2 IT support onsite and remotely
Assist with IT infrastructure projects and network maintenance
Experience with Windows Servers, Office 365, Azure cloud services","Azure, C, IT Support, R, SSIS, Windows Server",,https://au.jora.com/job/ICT-Support-Specialist-0b9801f381a1f39673ccdac1f61b9a90
IT Operations Specialist,Jivaro,Sydney CBD,NSW,"Maintain and monitor retail POS systems, store devices, IT assets
Provide Level 1 and 2 support, collaborate with vendors
Experience with POS systems, Windows/Mac, networking principles required","C, Networking, R",,https://au.jora.com/job/IT-Operations-Specialist-ae99a1101412d8354edfdd94c90cc2f9
IT Infrastructure Specialist - Support Services Global Support Centre,Cotton On,Geelong,VIC,"Manage server, storage, and infrastructure applications; ensure compliance
Support IT infrastructure projects, cloud migrations, and system upgrades
Proficient in Azure, AWS, Windows, Office365, VMware; Active Directory","AWS, Active Directory, Azure, C, R, VMware",,https://au.jora.com/job/IT-Infrastructure-Specialist-511abf95393d6a0597a74da46dd397af
ICT TECHNICAL SUPPORT SPECIALIST,Commuserv,Adelaide,SA,"Support diverse ICT systems for various industries
Experience in Microsoft 365, Windows 10/11, and network troubleshooting
Strong customer service, problem-solving skills, and proactive attitude","C, R",,https://au.jora.com/job/Technical-Support-Specialist-b394d678d9b928927e6beff1d0d442c8
ICT Support Technician nec,AI Talent,Sydney,NSW,"Provide front-line technical support for hardware, software, and network
Install, configure, and update operating systems and applications
Certificate IV in IT or related field with 1+ year experience","C, R",1,https://au.jora.com/job/ICT-Support-Technician-c278b447a3a6663146fe8caace310174
MSP Help Desk,Brilliant Technologies,Cairns,QLD,"Proactive monitoring and maintenance of client IT systems
Technical support and assistance with strong customer communication skills
Experience in help desk or technical support role required","C, Help Desk, R, SSIS, communication",,https://au.jora.com/job/MSP-Help-Desk-6e87c30a85f20652a96c74828539ba87
Desktop Support Specialist,WorkCover Queensland,Brisbane,QLD,"Resolve technical issues impacting business services with team support
Deliver desktop tech services, software/hardware support, staff relocations
Tertiary IT qualification or equivalent experience, ITIL v4 knowledge","C, ITIL, R",,https://au.jora.com/job/Desktop-Support-Specialist-451ed73a03f35ac3659c20b539d45ad2
Desktop Support Specialist,Industrial Light & Magic,Sydney,NSW,"Install, configure software in Linux and Windows environment
Manage IT security, troubleshoot, repair software, hardware issues
Diploma/Bachelor’s in Computer Science or equivalent, desktop support experience","C, Desktop Support, Linux, R",,https://au.jora.com/job/Desktop-Support-Specialist-024e62efaab8c7b057a068a1145184aa
Information Technology Specialist,Clicks IT Recruitment,Brisbane,QLD,"First point of contact for internal IT requests and escalations
Manage security alerts, vendor relationships, and technology upskilling
2+ years IT support experience, degree in IT or related field","C, IT Support, R, Scala",2,https://au.jora.com/job/Information-Technology-Specialist-fa99f6f94bdf90b56f63da7198502bb9
IT Support,FutureYou,Adelaide,SA,"Manage Microsoft 365 services like Azure, Intune, OneDrive, SharePoint
Work in SaaS environment ensuring smooth IT operations
3-5 years IT support experience, strong troubleshooting skills required","Azure, C, IT Support, R",5,https://au.jora.com/job/IT-Support-134930752e9d0e1cdd4aeae91b7318e7
ICT Support Specialist,The Westport Club,Port Macquarie,NSW,"Provide ICT support across multiple locations in NSW
Experience in Level 1-3 ICT support and troubleshooting required
Opportunities for professional development and team culture benefits","C, R",,https://au.jora.com/job/ICT-Support-Specialist-363743314d99a955ac724fab528552eb
Service Desk Analyst - Construction,seek.com.au,Perth,WA,"Resolve service desk tickets and troubleshoot technical issues efficiently
Maintain Windows, Active Directory, Azure environments, and IT infrastructure
Provide customer support, set up devices, assist with system rollouts","Active Directory, Azure, C, R, SSIS, Service Desk",,https://au.jora.com/job/Service-Desk-Analyst-fccb2744e9f589f51a41a3adddcb0ba9
Service Desk Analyst,Bundaberg Regional Council,Bundaberg,QLD,"Provide technical support to remote and on-site users
Diagnose, document, and resolve hardware, software, and network issues
Qualification in IT, problem-solving skills, customer service focus required","C, R",,https://au.jora.com/job/Service-Desk-Analyst-c286b3e62f10989b46c5e9c3e388fe5d
Level 2 IT Support Engineer,Hays Recruitment,Melbourne,VIC,"Provide level 2 IT support onsite and remotely
Technical support for servers, network, and hardware
Experience with Office 365, Windows Server, VoIP, and VMware","C, IT Support, R, VMware, Windows Server",,https://au.jora.com/job/Level-2-IT-b87670b1f020e7212cf201664cc83a02
IT Solutions Specialist,Contemporary Catering,Bayswater,VIC,"Develop Power BI reports for actionable insights across departments
Integrate apps, manage data, configure SharePoint and Teams
Bachelor's in IT/Computer Science, Power BI, API, SharePoint experience","C, Power BI, R",,https://au.jora.com/job/IT-Solutions-Specialist-44f52f8856ac8b4f9b095ee209a5b5a9
End User Services- ICT Service Desk Analyst - 6 month Fixed term,Opal HealthCare,Sydney,NSW,"Provide first and second-level IT support for Opal HealthCare
Troubleshoot hardware, software, and network issues; manage service requests
Bachelor’s degree in IT or related field; ITIL certification desirable","C, IT Support, ITIL, R",,https://au.jora.com/job/End-User-Services-1fa12e3aacec77dab0189a19ef8793fc
IT Systems Support Officer,Respect Group Limited,Warrnambool,VIC,"Provide level 1 and 2 IT support to staff/residents
Manage procurement, equipment logistics, and IT projects
Require ITIL, MCP, police certificate, 5+ years helpdesk experience","C, IT Support, ITIL, R",5,https://au.jora.com/job/Systems-Support-Officer-efe14fb6cbb5d846f863b231b94adbf4
IT Support Analyst / VIP Support - Federal Government,Hitech Asia Pacific,Melbourne,VIC,"Support Agency Senior Executive staff and partners with ICT incidents
12-month contract with security clearance potential
Build effective relationships, resolve problems, provide technical documentation","C, R",,https://au.jora.com/job/IT-Support-Analyst-91b38270f4f037a204a35416b73c78f5
IT Support Technician,Global Growth Solutions Pty Ltd,Perth,WA,"Provide professional IT support services to diverse customers
3 years customer service experience in software/technician environment
Certifications in Microsoft, Cisco, ITIL, and network technologies","C, IT Support, ITIL, R",3,https://au.jora.com/job/IT-Support-Technician-adb8a95a96f1bf2cee2fcabff1a8a7a1
IT Support Technician,Hays Recruitment,Bendigo,VIC,"Provide 1st and 2nd level on-site IT support
Knowledge of Windows, Active Directory, Office 365, and networking
Tertiary IT education, Azure, Cisco, Veeam, ITIL certifications preferred","Active Directory, Azure, C, IT Support, ITIL, Networking, R",,https://au.jora.com/job/IT-Support-Technician-04fe13ac21281373747d2af80f513043
Associate Service Desk Analyst,Services Australia - Broome WA,Adelaide,SA,"Provide first level IT support for ICT infrastructure solutions
Support end-users through incident management and service request processes
Work in rotating shift environment from 7am to 5pm","C, IT Support, R",,https://au.jora.com/job/Service-Desk-Analyst-73c99ab7644f4870923e588b0654f2ba
Support Specialist,Sirius People,Melbourne,VIC,"Configure system settings and develop workflows for SaaS platform
Provide expert technical support and troubleshoot platform issues
Bachelor's degree in relevant field, 2+ years technical support experience","C, R",2,https://au.jora.com/job/Support-Specialist-ba2f8804b0d3dc0d80688b006bfa2ed6
ICT Support Technician,Labour Support Group,Sydney,NSW,"Sole IT professional managing IT infrastructure, networks, and security
Supporting business operations with Microsoft 365, Unleashed, and Xero
Procuring IT equipment, implementing cost-effective technology solutions","C, R",,https://au.jora.com/job/ICT-Support-Technician-8e4a78906c59debfae3064865fa66b8a
Service Management Specialist,Council Jobs,Broadmeadows,VIC,"Implement and maintain ITIL-based service management processes
Manage service level agreements and key performance indicators
Bachelor's degree in IT, ITIL certification, service management tools","C, ITIL, R",,https://au.jora.com/job/Service-Management-Specialist-4b688072f8ee5e74411e965441676a81
End User Devices Specialist - Support Services Global Support Centre,Cotton On,Geelong,VIC,"Provide second-level support for end user devices
Experience with PC's, Mac's, iPhones, Android, and POS
Degree in Information Technology and ITIL understanding required","C, ITIL, R",,https://au.jora.com/job/Specialist-14e93daa8af0e869d1e8511ef2584763
Service Desk Engineer (Level 2),EFEX,Adelaide,SA,"Provide level 2 IT support to clients via various channels
Maintain client environments using various technologies like Microsoft 365
2+ years exp, industry certs, strong troubleshooting skills","C, IT Support, R",2,https://au.jora.com/job/Service-Desk-Engineer-d25dab1b4cadef88d904f4da53823a60
ICT Support Engineer - MSSP Services,Territory Technology Solutions,Darwin,NT,"Minimum 2-3 years MSP experience with Windows & Firewalls
Knowledge in networking, VoIP, virtualization, and Active Directory
Provide technical support, monitor client environments, assist with projects","Active Directory, C, Firewalls, Networking, R, SSIS",3,https://au.jora.com/job/ICT-Support-Engineer-75e207d259ac3a163741dd885aa1c679
Expression of Interest: ICT Support Technician / Specialist Technician (Bendigo and Surrounding Areas),The Good Guys,Southbank,VIC,"Responsible for school network and ICT environment administration
Technical specialist for Windows, Apple devices, and network administration
Experience in virtualization, hardware configuration, and end user support","C, R",,https://au.jora.com/job/Specialist-Technician-2a56621f05cd240e765c699ec60f718d
"MAC Support Specialist – Melbourne, Victoria, Australia",Axiom Technologies,Melbourne,VIC,"MAC Support Specialist in Melbourne, Victoria, Australia
3+ years of relevant experience, JAMF Certification required
Responsibilities include MAC setup, troubleshooting, software support","C, R",3,https://au.jora.com/job/Support-Specialist-9e69c9135c579efbf8c08f0b5556b01f
Level 2 Service Desk Engineer,Bamits Pty Ltd,Moe,VIC,"Provide Level 2/3 support for clients across Australia
Strong technical skills in Microsoft platforms, networking, and troubleshooting
Desirable certifications from major vendors and TAFE ICT certifications","C, Networking, R",,https://au.jora.com/job/Service-Desk-Engineer-abc2159e8f9b85eedca18b533416e8ef
IT Support Engineer - Infrastructure | SMYA,SMYA,Minto,NSW,"Provide technical support to entire SMYA business
Manage desktop and server infrastructure, user and network security
3+ years' experience, IT Certification, Microsoft & networking knowledge","C, Networking, R",3,https://au.jora.com/job/IT-Support-Engineer-da43dafc591328b531dff19351f3aaa9
Software Support Specialist,Objective Corporation,Sydney,NSW,"Provide Level 3 technical support for Objective software
Act as 'voice of the customer' and drive customer satisfaction
Bachelor's in IT or equivalent experience; strong SQL skills","C, R, SQL",,https://au.jora.com/job/Software-Support-Specialist-402d6577268d797429f9bf376e88b60c
Product Support Specialist,ECI Software Solutions,Mount Waverley,VIC,"Diagnose software issues and troubleshoot application errors for customers
Support small to medium businesses with ERP solutions
Collaborate with teams, create/update knowledge base articles, escalate defects","C, R, Scala",,https://au.jora.com/job/Product-Support-Specialist-054ce9d5357e1e1668b725d09a201702
ICT Support Engineer,Humanology,Winkie,SA,"Provide technical support to internal and external clients nationwide
Hands-on role requiring strong troubleshooting skills and customer focus
Skills in virtualization, network security, and endpoint support","C, R",,https://au.jora.com/job/ICT-Support-Engineer-a4178bd5d302d08c25f265769aa1f39b
Desktop Support Engineer,Delivery Centric,Sydney CBD,NSW,"Troubleshoot hardware, software, and network issues for smooth operations
Deploy and configure network devices, manage security software and protocols
Document procedures, provide end-user support, collaborate for IT infrastructure","C, R",,https://au.jora.com/job/Desktop-Support-Engineer-5e1f68d6b0d3eaffc49457c38530e48b
Service Desk Analyst,Lander & Rogers,Melbourne,VIC,"Provide on-site technical support and troubleshooting for end-users
Bachelor's degree in IT, 2+ years legal environment experience
Proficient in enterprise applications, exceptional customer service skills","C, R",2,https://au.jora.com/job/Service-Desk-Analyst-1b0d6810e023e5ea107f0c48d73b9629
IT Specialist,Mindarie Regional Council,Tamala Park,WA,"Maintain and improve IT infrastructure for waste management authority
Expertise in project delivery, system implementations, and process development
Bachelor's in IT, project management cert, network certs.","C, R",,https://au.jora.com/job/IT-Specialist-0230d5c2a3655c5918895daa040e1e65
